Employee,Department,Date,Status
Alice,HR,2024-07-01,Present
Alice,HR,2024-07-02,Present
Alice,HR,2024-07-03,Present
Alice,HR,2024-07-04,Present
Alice,HR,2024-07-05,Present
Alice,HR,2024-07-06,Present
Alice,HR,2024-07-07,Present
Alice,HR,2024-07-08,Present
Alice,HR,2024-07-09,Present
Alice,HR,2024-07-10,Present
Alice,HR,2024-07-11,Present
Alice,HR,2024-07-12,Present
Alice,HR,2024-07-13,Absent
Alice,HR,2024-07-14,Present
Alice,HR,2024-07-15,Absent
Alice,HR,2024-07-16,Present
Alice,HR,2024-07-17,Present
Alice,HR,2024-07-18,Present
Alice,HR,2024-07-19,Present
Alice,HR,2024-07-20,Present
Alice,HR,2024-07-21,Present
Alice,HR,2024-07-22,Present
Alice,HR,2024-07-23,Absent
Alice,HR,2024-07-24,Present
Alice,HR,2024-07-25,Present
Alice,HR,2024-07-26,Present
Alice,HR,2024-07-27,Present
Alice,HR,2024-07-28,Absent
Alice,HR,2024-07-29,Present
Alice,HR,2024-07-30,Present
Alice,HR,2024-07-31,Present
Bob,Sales,2024-07-01,Present
Bob,Sales,2024-07-02,Absent
Bob,Sales,2024-07-03,Absent
Bob,Sales,2024-07-04,Present
Bob,Sales,2024-07-05,Present
Bob,Sales,2024-07-06,Present
Bob,Sales,2024-07-07,Present
Bob,Sales,2024-07-08,Present
Bob,Sales,2024-07-09,Present
Bob,Sales,2024-07-10,Present
Bob,Sales,2024-07-11,Present
Bob,Sales,2024-07-12,Absent
Bob,Sales,2024-07-13,Present
Bob,Sales,2024-07-14,Present
Bob,Sales,2024-07-15,Present
Bob,Sales,2024-07-16,Present
Bob,Sales,2024-07-17,Present
Bob,Sales,2024-07-18,Present
Bob,Sales,2024-07-19,Absent
Bob,Sales,2024-07-20,Present
Bob,Sales,2024-07-21,Absent
Bob,Sales,2024-07-22,Present
Bob,Sales,2024-07-23,Present
Bob,Sales,2024-07-24,Absent
Bob,Sales,2024-07-25,Present
Bob,Sales,2024-07-26,Present
Bob,Sales,2024-07-27,Present
Bob,Sales,2024-07-28,Present
Bob,Sales,2024-07-29,Present
Bob,Sales,2024-07-30,Present
Bob,Sales,2024-07-31,Present
Charlie,Engineering,2024-07-01,Absent
Charlie,Engineering,2024-07-02,Present
Charlie,Engineering,2024-07-03,Present
Charlie,Engineering,2024-07-04,Present
Charlie,Engineering,2024-07-05,Present
Charlie,Engineering,2024-07-06,Present
Charlie,Engineering,2024-07-07,Present
Charlie,Engineering,2024-07-08,Present
Charlie,Engineering,2024-07-09,Present
Charlie,Engineering,2024-07-10,Present
Charlie,Engineering,2024-07-11,Present
Charlie,Engineering,2024-07-12,Present
Charlie,Engineering,2024-07-13,Present
Charlie,Engineering,2024-07-14,Present
Charlie,Engineering,2024-07-15,Absent
Charlie,Engineering,2024-07-16,Present
Charlie,Engineering,2024-07-17,Absent
Charlie,Engineering,2024-07-18,Present
Charlie,Engineering,2024-07-19,Present
Charlie,Engineering,2024-07-20,Present
Charlie,Engineering,2024-07-21,Present
Charlie,Engineering,2024-07-22,Present
Charlie,Engineering,2024-07-23,Present
Charlie,Engineering,2024-07-24,Present
Charlie,Engineering,2024-07-25,Present
Charlie,Engineering,2024-07-26,Present
Charlie,Engineering,2024-07-27,Present
Charlie,Engineering,2024-07-28,Absent
Charlie,Engineering,2024-07-29,Present
Charlie,Engineering,2024-07-30,Present
Charlie,Engineering,2024-07-31,Present
David,Engineering,2024-07-01,Present
David,Engineering,2024-07-02,Present
David,Engineering,2024-07-03,Present
David,Engineering,2024-07-04,Present
David,Engineering,2024-07-05,Present
David,Engineering,2024-07-06,Present
David,Engineering,2024-07-07,Present
David,Engineering,2024-07-08,Present
David,Engineering,2024-07-09,Present
David,Engineering,2024-07-10,Absent
David,Engineering,2024-07-11,Present
David,Engineering,2024-07-12,Present
David,Engineering,2024-07-13,Present
David,Engineering,2024-07-14,Present
David,Engineering,2024-07-15,Present
David,Engineering,2024-07-16,Present
David,Engineering,2024-07-17,Present
David,Engineering,2024-07-18,Absent
David,Engineering,2024-07-19,Present
David,Engineering,2024-07-20,Present
David,Engineering,2024-07-21,Present
David,Engineering,2024-07-22,Present
David,Engineering,2024-07-23,Present
David,Engineering,2024-07-24,Present
David,Engineering,2024-07-25,Present
David,Engineering,2024-07-26,Present
David,Engineering,2024-07-27,Present
